mem_no,mem_sex,acpt_yn,mem_mbti_code,ptr_mem_no,ptr_mem_sex,ptr_acpt_yn,ptr_mbti_code,open_slct,want_slct,read_yn,ins_date
1663087,m,y,ISFP,1666973,f,n,ISFP,f,c,y,2021-09-25 23:38:45
1429227,m,y,INFP,1646015,f,n,ENFJ,f,c,n,2021-09-28 22:17:30
1414642,m,y,INFP,1619629,f,n,ENFJ,f,c,y,2021-09-28 00:40:55
1525643,m,y,ENTP,1619629,f,n,ENFJ,f,s,y,2021-09-10 21:53:33
967298,m,y,ESTJ,1661325,f,n,INFP,f,s,n,2021-09-23 20:51:21
967298,m,y,ESTJ,1444967,f,n,ISFJ,f,s,n,2021-09-23 21:08:36
1249975,m,y,ESFP,1661325,f,n,INFP,f,c,n,2021-09-24 22:08:48
1407208,m,y,ESFJ,1661325,f,n,INFP,f,s,n,2021-09-26 12:53:58
1407208,m,y,ESFJ,1655445,f,n,ISFP,f,s,y,2021-09-26 07:34:55
1652898,m,y,ENTJ,1661325,f,n,INFP,f,s,y,2021-09-22 12:12:00
1652898,m,y,ENTJ,1667856,f,n,INTP,f,s,y,2021-09-25 18:53:41
1258669,f,y,INFP,1570454,m,n,INFP,f,s,y,2021-09-06 21:41:33
1415445,m,y,INFP,1635600,f,n,ISFJ,f,s,y,2021-09-27 22:11:51
1226753,m,y,ISFP,1189530,f,n,ISFP,f,s,y,2021-09-22 22:41:34
1226753,m,y,ISFP,1539560,f,n,ESFJ,f,s,n,2021-09-22 22:44:59
1665229,m,y,INFJ,1189530,f,n,ISFP,f,s,y,2021-09-22 18:42:38
1665229,m,y,INFJ,912114,f,n,INFP,f,s,n,2021-09-22 17:39:54
1665229,m,y,INFJ,1631685,f,n,INTP,f,s,y,2021-09-22 18:34:08
1665229,m,y,INFJ,1097634,f,n,ESFP,f,s,y,2021-09-22 18:47:22
851144,m,y,ENFP,1189530,f,n,ISFP,f,s,y,2021-09-12 18:11:35
851144,m,y,ENFP,1659912,f,y,ISFP,i,s,y,2021-09-22 21:22:25
851144,m,y,ENFP,1588196,f,n,INFJ,f,s,n,2021-09-16 22:13:00
1558062,f,y,INFP,1622335,m,n,ENTP,f,s,y,2021-09-14 22:28:05
1558062,f,y,INFP,1639692,m,n,ESTJ,f,s,y,2021-09-14 22:25:44
1515764,m,y,ESFJ,1321258,f,n,INTJ,f,c,y,2021-09-26 22:50:12
1665946,m,y,ISFJ,1659912,f,n,ISFP,f,c,y,2021-09-26 13:07:11
1670767,m,y,INFP,1659912,f,n,ISFP,f,s,y,2021-09-29 10:37:47
1670767,m,y,INFP,1640670,f,y,ENFP,i,s,y,2021-09-29 22:25:15
1670767,m,y,INFP,1642415,f,n,ISFP,f,c,n,2021-09-29 10:24:16
1669272,m,y,INTJ,1659912,f,n,ISFP,f,c,y,2021-09-27 21:58:51
1669147,m,y,INFJ,1659912,f,n,ISFP,f,c,y,2021-09-27 08:43:52
1669147,m,y,INFJ,1664712,f,n,ISFP,f,c,y,2021-09-27 08:44:08
1292943,m,y,INFP,1659912,f,n,ISFP,f,c,y,2021-09-23 21:49:42
