mem_no,mem_id,mem_sex,mem_age,mem_loc,mem_birth_ddi,mate_blood,pf_ins_yn,mbti_code,food_cat,concn
6404,P80R,f,39,d,3,1,y,ENFP,korean japanese,0.0
8734,10Zs,m,33,g,9,1,y,INFJ,korean,0.0
28014,4sFm,m,38,k,4,1,y,ESFP,korean japanese,0.0
30302,BI03,m,39,b,3,1,y,INFP,western etc chinese korean,1.0
34189,9zZD,m,32,p,10,2,y,ISFP,western dessert japanese,0.0
37436,BP6B,m,38,b,4,3,y,ESFJ,korean japanese,0.0
43692,towo,m,39,b,3,2,y,INFP,western chinese,0.0
44187,2GZE,m,39,f,3,2,y,ENFP,western chinese korean japanese,0.0
45401,TLXm,m,39,d,3,4,y,ISFP,dessert korean western chinese japanese,0.0
47565,SMUN,m,32,c,10,3,y,INFP,western korean japanese,0.0
61511,JrEI,m,39,f,3,1,y,ISFP,korean japanese,0.0
61730,hMSg,m,35,k,7,3,y,ISFJ,western korean japanese,0.0
82021,sqeu,m,39,o,3,2,y,INFP,western korean japanese,1.0
101880,Dunw,m,35,f,7,2,y,INFP,western etc korean japanese,0.0
103652,OPYJ,m,37,g,5,1,y,INFJ,western dessert,1.0
128655,vS6a,m,39,b,3,2,y,ESFJ,western korean japanese,0.0
130059,yz8v,m,39,g,3,1,y,INFJ,western korean japanese,1.0
139982,Ghe8,m,39,j,3,4,y,ISFJ,western chinese korean,1.0
141954,LfIA,m,32,i,10,3,y,INFP,western korean,0.0
145209,0lxc,f,31,b,11,1,y,ENTP,western dessert,0.0
152317,lg9H,m,34,b,8,1,y,ENFP,western korean,0.0
153136,KGc9,m,39,b,3,1,y,INFP,western chinese korean japanese,0.0
154806,DLLm,m,38,e,4,3,y,ISFP,korean,0.0
160880,XYJV,m,34,b,8,4,y,ISFJ,western dessert japanese,1.0
161677,jnhi,m,38,l,4,3,y,INTP,western chinese japanese,0.0
161936,xMVA,m,39,i,3,1,y,ISFJ,western etc korean,0.0
163746,7dBl,m,34,i,8,4,y,INFP,western,0.0
168358,7pkz,m,33,g,9,2,y,INFJ,dessert korean western chinese japanese,0.0
169215,r7a6,m,39,h,3,3,y,ENFP,chinese korean,1.0
169324,5Ajp,m,37,c,5,4,y,ISFP,western korean japanese,1.0
172072,dEaE,m,38,f,4,2,y,ISFP,western etc chinese korean,0.0
172394,iwXB,m,37,p,5,4,y,INFP,western chinese korean,0.0
173333,rMvw,m,38,g,4,2,y,ISFP,chinese korean japanese,0.0
174709,R0ct,m,35,i,7,3,y,ESTJ,western chinese korean japanese,0.0
176254,WJW1,m,35,f,7,3,y,INFP,korean japanese,0.0
176936,djLC,m,39,o,3,1,y,ISFP,korean japanese,0.0
177099,N6O7,m,36,i,6,2,y,ISFP,western chinese dessert japanese,0.0
182909,e82A,m,39,d,3,2,y,ESFP,western korean japanese,1.0
186521,yORI,m,36,h,6,1,y,ISFP,korean japanese,0.0
187711,Uc6E,m,39,i,3,1,y,ISTJ,etc chinese japanese,1.0
189181,MoVb,m,38,o,4,2,y,INFP,western etc chinese korean,0.0
190951,T8KV,m,35,i,7,3,y,INFJ,korean dessert,0.0
197442,GPsN,m,36,l,6,3,y,INFJ,chinese japanese,1.0
199321,P5be,f,38,f,4,2,y,ISFP,western chinese korean japanese,0.0
200758,jkQx,m,36,c,6,3,y,ENFP,korean,1.0
201617,DDTR,f,38,i,4,1,y,ESTP,western etc korean japanese,0.0
204602,FXXA,m,39,o,3,1,y,INFP,chinese korean,1.0
205051,6Vpp,m,37,p,5,1,y,INFP,western,0.0
211739,3D0y,m,38,b,4,3,y,ENTJ,western chinese korean japanese,0.0
219034,1wGa,m,38,c,4,4,y,INFP,western dessert japanese,0.0
219256,v5wc,m,36,a,6,1,y,ISTP,dessert,0.0
222502,qXwJ,f,39,i,3,3,y,ISFJ,western korean japanese,0.0
223068,sgz8,m,37,f,5,2,y,ENFJ,chinese korean japanese,0.0
223256,bOnP,m,38,i,4,1,y,ISFP,korean western chinese etc japanese,1.0
